Company ID,Company Name,Branch ID,Street Address,City,State,Postal Code,License Number,License Name
2280,21st Mortgage Corporation,,620 Market Street ,Knoxville,TN,37902,DC2280,MA Debt Collector
2280,21st Mortgage Corporation,1675234,10208 Technology Drive ,Knoxville,TN,37932,DC2280,MA Debt Collector
937594,"A.R.M. Solutions, Inc.",,"2455 Teller Road, Suite 150 ",Thousand Oaks,CA,91320,DC937594,MA Debt Collector
1033955,"Ability Recovery Services, LLC",,284 Main Street ,Dupont,PA,18641,DC1033955,MA Debt Collector
952162,Accenture Solutions Private Limited,,"PLANT 3, GODREJ & BOYCE COMPLEX LBS MARG, VIKHROLI (WEST)",Mumbai,,400079,DC1131,MA Debt Collector
952162,Accenture Solutions Private Limited,1608592,"4th Floor, Tower II of Phase II, Logitech Park Andheri Kurla Road, Andheri (East)",Mumbai,,400072,DC952162,MA Debt Collector
934276,Accounts Receivable Technologies Inc.,,10 Wills Way Building 3,Piscataway,NJ,08854,DC112045-100,MA Debt Collector
931957,"Action Collection Agencies, Inc.",,16 Commerce Blvd. Unit 4,Middleboro,MA,02346,DC0012,MA Debt Collector
988275,"Adler Wallach & Associates, Inc.",,1045 W. Katella Ave. Suite 230,Orange,CA,92867,DC988275,MA Debt Collector
1103081,Admin Recovery LLC,,6225 Sheridan Drive Suite 118,Williamsville,NY,14221,DC1103081,MA Debt Collector
3078,"Advanced Call Center Technologies, LLC",,2238 East Fairview Ave ,Johnson City,TN,37601,DC0516,MA Debt Collector
244947,Advanced Financial Company,,"5900 Pasteur Court, Ste. 115 ",Carlsbad,CA,92008,DC244947,MA Debt Collector
939588,"Afni, Inc.",,1310 Martin Luther King Drive ,Bloomington,IL,61701,DC0711,MA Debt Collector
1651788,AHP Servicing LLC,,"440 S. La Salle St., Suite 1110 ",Chicago,IL,60605,DC1651788,MA Debt Collector
921364,"AIS Recovery Solutions, LLC",,"1212 Corporate Drive, Suite 400 ",Irving,TX,75038,DC921364,MA Debt Collector
921364,"AIS Recovery Solutions, LLC",975036,4515 N. Santa Fe Ave. ,Oklahoma City,OK,73118,DC921364,MA Debt Collector
921364,"AIS Recovery Solutions, LLC",1591397,"Besides Alembic Admin Building Alembic Premises, Alembic Road, Gorwa",Vadodara,,390003,DC921364,MA Debt Collector
1401770,Aldous & Associates PLLC,,4625 South 2300 East Suite 207,Holladay,UT,84117,DC1401770,MA Debt Collector
1491400,"All Debt Solutions, Inc.",,"117 Water Street, suite 204 ",Milford,MA,01757,DC1491400,MA Debt Collector
929077,"Alliance Collection Agencies, Inc.",,3916 S. Business Park Ave. PO Box 1267,Marshfield,WI,54449,DC112062-101,MA Debt Collector
441662,"AllianceOne Receivables Management, Inc",,3043 Walton Road Suite 201,Plymouth Meeting,PA,19462,DC0769,MA Debt Collector
441662,"AllianceOne Receivables Management, Inc",951445,451 Southwest Sedgwick Road Suite 220,Port Orchard,WA,98367,DC111180 - 107,MA Debt Collector
441662,"AllianceOne Receivables Management, Inc",951698,1 Mangrove Way Montego Bay Free Zone,Montego Bay,,West Indies,DC1180 -102,MA Debt Collector
441662,"AllianceOne Receivables Management, Inc",951801,1684 Woodlands Drive Suite 150,Maumee,OH,43537,DC111180 - 106,MA Debt Collector
441662,"AllianceOne Receivables Management, Inc",951835,6160 Mission Gorge Road Suite 300,San Diego,CA,92120,DC111180 - 108,MA Debt Collector
1679170,Alliant Capital Management LLC,,"1965 Sheridan Drive, Suite 100 ",Buffalo,NY,14223,DC1679170,MA Debt Collector
934694,"Allied Account Services, Inc",,1065 Stewart Ave Suite 103,Bethpage,NY,11714,DC0229,MA Debt Collector
934303,"Allied International Credit Corp., (US)",,4410 E. Claiborne Square Ste 235 ,Hampton,VA,23666,DC0731,MA Debt Collector
934303,"Allied International Credit Corp., (US)",943913,55 Mulcaster St ,Barrie,,L4M 0J4,DC934303,MA Debt Collector
934303,"Allied International Credit Corp., (US)",1003942,"15-16 F Three World Square Bldg Upper McKinley Rd McKinley Hill, Fort Bonifacio, Taguig City",Metro Manila,,01634,DC934303,MA Debt Collector
934303,"Allied International Credit Corp., (US)",1930217,3ER Piso Fase 2 Edificio E Centro Corporativo Cafetal,La Ribera de Belen,,,DC934303,MA Debt Collector
934303,"Allied International Credit Corp., (US)",2291630,74 Independence Square N 1st Floor ,Port-of-Spain,,00010,DC934303,MA Debt Collector
928901,Allied Interstate LLC,,7350 Tilghman St Suite 300,Allentown,PA,18106,DC0475,MA Debt Collector
928901,Allied Interstate LLC,1078182,"2F & 3F BPO Building 1 & 2, SM City Clark M.A. Roxas Highway, Brgy. Malabanias, Angeles City",Pampanga,,02009,DC928901,MA Debt Collector
928901,Allied Interstate LLC,1084442,701 Seneca Street Suite 645,Buffalo,NY,14210,DC928901,MA Debt Collector
928901,Allied Interstate LLC,1084444,"A-154A, Sector 63 ","Noida, U.P.",,201 301,DC928901,MA Debt Collector
1512719,"Alternative Collections, LLC",,65 Lawrence Bell Dr ,Williamsville,NY,14221,DC1512719,MA Debt Collector
929734,"AMERICAN ADJUSTMENT BUREAU,INC.",,73 FIELD ST. ,WATERBURY,CT,06702,DC1043,MA Debt Collector
816187,American Coradius International LLC,,"2420 Sweet Home Rd., Suite 150 ",Amherst,NY,14228,DC0959,MA Debt Collector
345863,"American Credit Acceptance, LLC",,961 East Main Street ,Spartanburg,SC,29302,DC345863,MA Debt Collector
954544,"American Credit Bureau, Inc,",,"1200 North Federal Highway, Suite # 200 ",Boca Raton,FL,33432,DC0917,MA Debt Collector
951467,American Credit Management Inc,,25 St Mary's Rd ,Tewksbury,MA,01876,DC0386,MA Debt Collector
338923,American Neighborhood Mortgage Acceptance Company LLC,,700 East Gate Drive Suite 400,Mount Laurel,NJ,08054,DC338923,MA Debt Collector
945971,"American Profit Recovery, Inc.",,34505 W. 12 Mile Road # 333 ,Farmington Hills,MI,48331,DC0857,MA Debt Collector
933103,American Recovery Service Incorporated,,555 St. Charles Drive Suite 100,Thousand Oaks,CA,91360,DC0585,MA Debt Collector
933103,American Recovery Service Incorporated,2402475,205 Bryant Woods South ,Amherst,NY,14228,DC933103,MA Debt Collector
908759,"Americollect, Inc.",,1851 S. Alverno Rd. ,Manitowoc,WI,54220,DC908759,MA Debt Collector
254272,"AmeriNational Community Services, LLC",,217 S. Newton Ave ,Albert Lea,MN,56007,DC254272,MA Debt Collector
254272,"AmeriNational Community Services, LLC",291924,"7000 Security Blvd., Suite 320 ",Baltimore,MD,21244,DC254272,MA Debt Collector
254272,"AmeriNational Community Services, LLC",296200,8121 E Florence Ave. ,Downey,CA,90240,DC296200,MA Debt Collector
254272,"AmeriNational Community Services, LLC",2480417,"3753 Howard Hughes Parkway, Suite 141 ",Las Vegas,NV,89169,DC254272,MA Debt Collector
1111855,Amos Financial LLC,,3330 Skokie Valley Road Suite 301,Highland Park,IL,60035,DC1111855,MA Debt Collector
922863,"Amsher Collection Services, Inc.",,"4524 Southlake Parkway, Suite 15 ",Hoover,AL,35244,DC0847,MA Debt Collector
1289659,Andrew Metcalf,,185 Main St Suite 34,Avon,MA,02322,DC1289659,MA Debt Collector
791182,"Apelles, LLC",,3700 Corporate Drive Suite 240,Columbus,OH,43231,DC791182,MA Debt Collector
1194760,"Arcadia Recovery Bureau, LLC",,645 Penn Street 4th Floor,Reading,PA,19601,DC1194760,MA Debt Collector
1982870,Arcon Credit Solutions LLC,,8425 Seasons Parkway Ste 106,Woodbury,MN,55125,DC1982870,MA Debt Collector
934304,"ARS National Services, Inc.",,270 W. 2nd Ave. ,Escondido,CA,92025,DC0601,MA Debt Collector
934304,"ARS National Services, Inc.",2228887,"1810 First Oaks St, Suite 190 ",Richmond,TX,77406,DC934304,MA Debt Collector
197476,"ARS Portfolio Services, LLC",,6400 Main Street ,Williamsville,NY,14221,DC1265,MA Debt Collector
1456896,"ARstrat, LLC",,14141 Southwest Fwy  Ste 300 ,Sugar Land,TX,77478,DC1456896,MA Debt Collector
1456896,"ARstrat, LLC",1754347,231 W Main St ,Denison,TX,75020,DC1456896,MA Debt Collector
934277,"AscensionPoint Recovery Services, LLC",,200 Coon Rapids Blvd. Ste. 200,Coon Rapids,MN,55433,DC1199,MA Debt Collector
934277,"AscensionPoint Recovery Services, LLC",947917,600 Highway 169 South suite 1520,Saint Louis Park,MN,55426,DC111448-101,MA Debt Collector
934555,"Aspen National Financial, Inc.",,827 Rood Ave. ,Grand Junction,CO,81501,DC0806,MA Debt Collector
934555,"Aspen National Financial, Inc.",939624,18110 Powell Road ,Brooksville,FL,34604,DC111210-101,MA Debt Collector
1006118,Aspire Resources Inc.,,6805 Vista Drive ,West Des Moines,IA,50266,DC1006118,MA Debt Collector
947923,"Asset Recovery Solutions, LLC",,2200 E Devon Ave Suite 200,Des Plaines,IL,60018,DC1260,MA Debt Collector
221718,"Associated Credit Services, Inc.",,"3 Highwood Dr., Suite 102E ",Tewksbury,MA,01876,DC0279,MA Debt Collector
934305,"ATG Credit, LLC",,1700 W. Cortland #205 ,Chicago,IL,60622,DC1178,MA Debt Collector
1172914,"Atlantic Collection Agency, Inc.",,194 Boston Post Road ,East Lyme,CT,06333,DC1172914,MA Debt Collector
940558,"Atlantic Credit & Finance, Inc.",,"111 Franklin Road, SE Suite 400",Roanoke,VA,24011,DC1079,MA Debt Collector
953138,"AUDIT SYSTEMS,INC",,1301 Seminole Boulevard Suite 155-157,Largo,FL,33770,DC0641,MA Debt Collector
933125,"Automated Collection Services, Inc",,304 Northcreek Blvd ,Goodlettsville,TN,37072,DC112040-101,MA Debt Collector
